id,food_name,food_group,food_sub_group,per_serving_household_measure,Energy (kcal),Protein (g),Total fat (g),Saturated fat (g),Dietary fibre (g),Carbohydrate (g),Cholesterol (mg),Sodium (mg),ALA,B-Carotene,Calcium,Carotenoid,EPA+DHA,Folic Acid,Glycemic carbohydrate,Glycemic index,Isoflavones,LA,Lactose,Marine Collagen Peptide,Monounsaturated fat,Nitrogen,Omega-6,Omega-9,Pantothenic Acid,Phycocyanin,Polyunsaturated fat,Potassium,Protein,Retinol,Riboflavin,Saturated fat,Selenium,Sodium,Starch,Sugar,Taurine,Thiamin,Thiamine,Total fat,Trans Fat,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin C,Vitamin D,Water,Whole-grains,Zinc
761,"Cheese, parmesan",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),88.38,7.62,6.54,4.1,0,0.02,19,287.2,0.07,35,229.2,0,0,0,0,0,0,0,0,0,1.9,1.19,0,0,0,0,0.18,17.2,7.62,62.8,0.09,4.1,2.4,287.2,0,0.02,0,0.01,0,6.54,0,68.6,0,0,0,0,0,4.2,4.14,0,1.16
762,"Cheese, pecorino",MILK AND MILK PRODUCTS,Cheeses,Slice (18g),63.99,5.04,4.9,3.17,0,0.04,15.84,170.64,0.06,26.1,133.74,0,0,0,0,0,0,0,0,0,1.15,0.79,0,0,0,0,0.22,13.86,5.04,52.02,0.07,3.17,0,170.64,0,0.04,0,0.01,0,4.9,0,56.34,0,0,0,0,0,0,6.93,0,0.67
763,"Cheese, pepato",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (20g),76.24,5.2,6.22,4.36,0,0.02,19.8,252.6,0,2.8,154.6,0,0,0,0,0,0,0,0,0,1.68,0.82,0,0,0,0,0.18,14.4,5.2,62.6,0.08,4.36,0,252.6,0,0.02,0,0,0,6.22,0,67.2,0,0,0,0,0,0,7.2,0,0.68
764,"Cheese, pizza",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),62.25,5.76,4.38,2.84,0,0.02,14.4,143,0.05,28,162.2,0,0,0,0,0,0,0,0,0,1.04,0.9,0,0,0,0,0.2,13.2,5.76,41.8,0.08,2.84,0,143,0,0.02,0,0.04,0,4.38,0,46.4,0,0,0,0,0,0,8.58,0,0.8
765,"Cheese, provolone",MILK AND MILK PRODUCTS,Cheeses,Slice (17g),61.98,4.73,4.83,3.13,0,0.02,17,170,0.06,32.3,127.5,0,0,0,0,0,0,0,0,0,1.14,0.74,0,0,0,0,0.2,11.39,4.73,52.7,0.07,3.13,0,170,0,0.02,0,0.01,0,4.83,0,58.14,0,0,0,0,0,0,6.34,0,0.66
766,"Cheese, quark",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),26.82,2.16,1.92,2.84,0,0.28,6.4,19.6,0,11.6,17,0,0,0,0,0,0,0,0,0,0.58,0.34,0,0,0,0,0.06,24,2.16,22,0.08,2.84,0,19.6,0,0.28,0,0.01,0,1.92,0,24,0,0,0,0,0,0,15,0,0.02
767,"Cheese, quark, low fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),15.45,2.78,0.22,0.14,0,0.58,1.8,32,0,2,18.8,0,0,0,0,0,0,0,0,0,0.06,0.44,0,0,0,0,0,24,2.78,1,0.08,0.14,0,32,0,0.58,0,0.01,0,0.22,0,1.4,0,0,0,0,0,0,16.1,0,0.1
768,"Cheese, raclette",MILK AND MILK PRODUCTS,Cheeses,Slice (16g),58.85,4,4.82,3.36,0,0,15.2,139.2,0,19.2,84.8,0,0,0,0,0,0,0,0,0,1.31,0.63,0,0,0,0,0.13,12.48,4,54.4,0.08,3.36,0,139.2,0,0,0,0,0,4.82,0,57.6,0,0,0,0,0,0,6.64,0,0.38
769,"Cheese, ricotta",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),29.45,2.1,2.26,1.52,0,0.24,9.6,39.6,0,13.4,45,0,0,0,0,0,0,0,0,0,0.68,0.33,0,0,0,0,0.06,27,2.1,20,0.04,1.52,0.36,39.6,0,0.24,0,0.06,0,2.26,0,22,0,0,0,0,0,2,14.72,0,0.18
770,"Cheese, ricotta, reduced fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),25.12,2.02,1.74,1.12,0,0.4,8.4,37,0.02,9.4,46,0,0,0,0,0,0,0,0,0,0.48,0.32,0,0,0,0,0.04,25.2,2.02,12.6,0.03,1.12,0,37,0,0.4,0,0,0,1.74,0,14.2,0,0,0,0,0,0,15.34,0,0.16
771,"Cheese, romano",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (10g),37.51,3.13,2.79,1.77,0,0.02,9,104,0.03,17.5,96.3,0,0,0,0,0,0,0,0,0,0.8,0.49,0,0,0,0,0.07,8.7,3.13,30,0.05,1.77,0,104,0,0.02,0,0,0,2.79,0,32.9,0,0,0,0,0,2,3.31,0,0.47
772,"Cheese, samsue",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),62.14,3.73,5.31,3.71,0,0,17.6,124.8,0,25.6,108.8,0,0,0,0,0,0,0,0,0,1.46,0.58,0,0,0,0,0.14,8.8,3.73,51.2,0.05,3.71,0,124.8,0,0,0,0,0,5.31,0,55.52,0,0,0,0,0,0,6.18,0,0.56
773,"Cheese, steppen",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),51.59,4.05,3.97,2.77,0,0.02,13.92,128,0,16,131.2,0,0,0,0,0,0,0,0,0,1.09,0.63,0,0,0,0,0.11,11.84,4.05,35.2,0.06,2.77,0,128,0,0.02,0,0,0,3.97,0,37.92,0,0,0,0,0,0,7.02,0,0.54
774,"Cheese, swiss",MILK AND MILK PRODUCTS,Cheeses,Slice (18g),68.75,5.15,5.4,3.78,0,0,14.58,86.76,0.06,23.22,163.44,0,0,0,0,0,0,0,0,0,1.48,0.81,0,0,0,0,0.14,13.32,5.15,46.26,0.09,3.78,0,86.76,0,0,0,0.01,0,5.4,0,50.22,0,0,0,0,0,3.6,6.71,0,0.79
775,"Cheese, tilsit",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),59.24,4.19,4.77,3.33,0,0.02,14.4,144,0,12.8,110.4,0,0,0,0,0,0,0,0,0,1.3,0.66,0,0,0,0,0.13,12.96,4.19,51.2,0.06,3.33,0,144,0,0.02,0,0.03,0,4.77,0,53.28,0,0,0,0,0,0,6.24,0,0.45
776,Commercial thick milkshake,MILK AND MILK PRODUCTS,Ice creams,Cup (214g),193.85,6.21,6.85,4.28,0,28.25,21.4,117.7,0,109.14,214,0,0,0,0,0,0,0,0,0,1.93,0.97,0,0,0,0,0.21,278.2,6.21,44.94,0.39,4.28,0,117.7,0,28.25,0,0.06,0,6.85,0,63.13,0,0,0,0,2.14,102.72,171.2,0,0.86
777,"Cream cheese dip, flavoured",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (22g),53.05,1.01,4.75,3.12,0,1.83,12.76,149.6,0.04,20.68,27.5,0,0,0,0,0,0,0,0,0,1.25,0.16,0,0,0,0,0.13,63.8,1.01,36.52,0.07,3.12,0,149.6,0,1.83,0,0.02,0,4.75,0,40.04,0,0,0,0,0,0,13.24,0,0.09
778,Cream cheese powder,MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),140.2,2.78,13.26,3.88,0,2.32,42,141.2,0,0,42.4,0,0,0,0,0,0,0,0,0,3.84,0.44,0,0,0,0,0.52,58.4,2.78,127.2,0.01,3.88,0,141.2,0.82,1.5,0,0,0,13.26,0,127.2,0,0,0,0,0.06,0,0.6,0,0.4
779,"Cream, pure",MILK AND MILK PRODUCTS,Cream,Cup (200g),661.72,4.6,71,45.6,0,3.6,202,72,0.66,520,120,0,0,0,0,0,0,0,0,0,17.2,0.72,0,0,0,0,2.8,240,4.6,702,0.28,45.6,0,72,0,3.6,0,0.04,0,71,1.24,788,0,0,0,0,0,0.6,119,0,0.4
780,"Cream, reduced fat, canned",MILK AND MILK PRODUCTS,Cream,Tablespoon (15g),0,0,0,0,0,0,0,4.5,0.04,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25,0,37.5,0.03,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06
781,"Cream, sour",MILK AND MILK PRODUCTS,Cream,Tablespoon (20g),74.28,0.46,7.94,5.51,0,0.58,26.2,5.8,0.04,50,14,0,0,0,0,0,0,0,0,0,2.21,0.07,0,0,0,0,0.22,20.8,0.46,82,0.04,5.51,0,5.8,0,0.58,0,0.01,0,7.94,0,90.33,0,0,0,0,0,0.04,10.9,0,0.04
782,"Cream, whipping",MILK AND MILK PRODUCTS,Cream,Tablespoon (3g),9.09,0.1,0.91,0.59,0,0.16,2.58,1.38,0,8.73,3.42,0,0,0,0,0,0,0,0,0,0.22,0.02,0,0,0,0,0.04,4.47,0.1,11.82,0.01,0.59,0,1.38,0,0.16,0,0,0,0.91,0,13.29,0,0,0,0,0,0.01,1.76,0,0.01
783,"Curd, cow's milk",MILK AND MILK PRODUCTS,Cream,Cup (225g),135,6.98,9,5.92,0,6.53,0,72,0,229.5,335.25,0,0,0,0,0,0,0,0,0,2.36,1.09,0,0,0,0,0.23,292.5,6.98,0,0.36,5.92,0,72,0,6.53,0,0.11,0,9,0,114.75,0,0,0,0,2.25,0,200.25,0,0
784,Frozen yoghurt,MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (150g),156,6.6,1.2,0.73,3,29.55,6,121.5,0,0,238.5,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0.05,508.5,6.6,0,0.27,0.73,0,121.5,0,18.92,0,0.06,0,1.2,0,0,0,0,0,0,1.05,0,110.25,0,0.74
785,Full cream milk,MILK AND MILK PRODUCTS,Milks,Cup (256g),166.43,8.19,8.7,5.38,0,11.78,35.84,171.52,0.08,0,238.08,0,0,0,0,0,0,0,0,0,2.56,1.28,0,0,0,0,0.26,291.84,8.19,102.4,0.44,5.38,2.56,171.52,0,11.78,0,0.08,0,8.7,0,102.4,0,0,0,0,1.28,0,225.54,0,0.77
786,"Gelato, vanilla",MILK AND MILK PRODUCTS,Ice creams,Cup (100g),171,4.3,9.2,6.5,1.6,17.7,19,66,0.01,0,116,0,0,0,0,0,0,0,0,0,2.09,0.67,0,0,0,0,0.17,161,4.3,66,0.28,6.5,0,66,0,17.7,0,0.09,0,9.2,0.44,66,0,0,0,0,0.1,0,64.7,0,0.6
787,Ice cream,MILK AND MILK PRODUCTS,Ice creams,Scoop (60g),223.1,4.66,17.91,14.49,3.3,11.06,0,124.35,0,3,66,0,0,0,0,0,0,0,0,0,1.08,0.31,0,0,0,0,0.24,120,1.98,1.2,0.18,6.72,0,50.4,0,13.68,0,0.02,0,8.52,0,1.7,0,0,0,0,0,0.18,37.02,0,0.24
788,"Ice cream, chocolate",MILK AND MILK PRODUCTS,Ice creams,Cup (132g),285.12,5.02,14.52,8.98,1.58,37.22,44.88,100.32,0,0,143.88,0,0,0,0,0,0,0,0,0,4.24,0.79,0,0,0,0,0.54,328.68,5.02,0,0.26,8.98,3.3,100.32,0,33.48,0,0.06,0,14.52,0,155.76,0,0,0,0,0.92,10.56,73.52,0,0.77
789,"Ice cream, green tea",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),72,1.45,3.7,2.85,0.55,8.15,3.85,24.5,0,0,46.5,0,0,0,0,0,0,0,0,0,0.75,0.23,0,0,0,0,0.09,68,1.45,0,0.06,2.85,0,24.5,0,8.15,0,0.02,0,3.7,0.04,0,0,0,0,0,2.9,0,33.8,0,0.15
790,"Ice cream, strawberry",MILK AND MILK PRODUCTS,Ice creams,Scoop (60g),115.2,1.92,5.04,3.11,0.18,16.56,0,36,0,0,72,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,112.8,1.92,0,0.15,3.11,1.44,36,0,0,0,0.03,0,5.04,0,46.8,0,0,0,0,4.62,0,36,0,0.2
791,"Ice cream, vanilla",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),113.5,2.15,6.65,4.07,0.15,11.3,27.55,31.5,0,40.5,72,0,0,0,0,0,0,0,0,0,1.66,0.34,0,0,0,0,0.23,100,2.15,54.5,0.15,4.07,0,31.5,0.75,10,0,0.05,0,6.65,0,60.5,0,0,0,0,0,4,29.5,0,0.2
792,"Ice cream, vanilla, W/ chocolate coating",MILK AND MILK PRODUCTS,Ice creams,Whole (148g),488.55,6.22,35.67,19.39,0,35.67,39.81,107.89,0,0,211.64,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,6.22,0,0,19.39,0,107.89,0,30.64,0,0,0,35.67,0,247.16,0,0,0,0,0,0.3,69.12,0,0
793,"Ice cream, with chocolate chips",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),95,1.4,5,3.36,0.65,11.05,7.45,43,0,0,40.2,0,0,0,0,0,0,0,0,0,1.21,0.22,0,0,0,0,0.28,104.5,1.4,39.25,0.11,3.36,0,43,0,11.05,0,0.02,0,5,0.18,39.25,0,0,0,0,0,0,29.75,0,0.2
794,"Ice cream, with nuts",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),115.5,1.75,7.25,4.26,2.75,10.85,14.6,39.5,0,0,50.3,0,0,0,0,0,0,0,0,0,2.37,0.27,0,0,0,0,0.46,111.5,1.75,44.55,0.06,4.26,0,39.5,0.15,10.7,0,0.03,0,7.25,0.16,44.55,0,0,0,0,0.15,0,28.45,0,0.25
795,Ice lolly,MILK AND MILK PRODUCTS,Ice creams,Stick (80g),53.54,0.24,0.08,0,0,13.68,0,4.8,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,2.4,0.24,0,0,0,0,4.8,0,13.68,0,0,0,0.08,0,0,0,0,0,0,0,0,64.16,0,0
796,"Ice milk, vanilla",MILK AND MILK PRODUCTS,Ice creams,Scoop (45g),78.19,1.85,4.14,3.02,0,8.96,1.8,35.1,0,0.45,61.2,0,0,0,0,0,0,0,0,0,0.9,0.29,0,0,0,0,0.21,90,1.85,1.35,0.07,3.02,0,35.1,0,8.96,0,0.03,0,4.14,0,1.35,0,0,0,0,0,0,28.67,0,0.18
797,Low fat chocolate milk,MILK AND MILK PRODUCTS,Milks,Cup (266g),204.82,11.7,3.72,2.34,0.8,30.86,14.1,66.5,0.03,0,207.48,0,0,0,0,0,0,0,0,0,0.82,1.83,0,0,0,0,0.21,393.68,11.7,774.06,0.48,2.34,0,66.5,0.8,27.93,0,2.58,0,3.72,0,774.06,0,0,0,0,18.09,0,217.32,0,1.06
798,Low fat milk fortified with protein,MILK AND MILK PRODUCTS,Milks,Cup (260g),139.82,10.66,4.68,2.34,0,14.56,13,150.8,0.03,28.6,374.4,0,0,0,0,0,0,0,0,0,1.04,1.67,0,0,0,0,0,481,10.66,39,0.39,2.34,2.6,150.8,14.56,0,0,0.13,0,4.68,0,44.2,0,0,0,0,2.6,0,227.76,0,1.3
799,"Low fat milk, concentrated calcium",MILK AND MILK PRODUCTS,Milks,Packet (125g),77.5,4,1.88,1.38,0,11.38,5,53.75,0,0,650,0,0,0,0,0,0,0,0,0,0.38,0.63,0,0,0,0,0.05,198.75,4,150,0.28,1.38,1.63,53.75,0,11,0,0.01,0,1.88,0,150,0,0,0,0,0,0,111.5,0,2.5
800,"Milk, filled",MILK AND MILK PRODUCTS,Milks,Can (525g),83.13,1.05,4.2,2.57,0,10.44,2.55,13.43,0,0,1701,0,0,0,0,0,0,0,0,0,28.88,7.16,0,0,0,0,7.35,598.5,45.68,740.25,3.47,11.03,15.75,708.75,0,0,0,3.78,0,49.35,0,740.25,0,0,0,0,6.3,0,133.35,0,6.3
801,"Milk, filled, sweetened, condensed, canned",MILK AND MILK PRODUCTS,Milks,Can (525g),1800.61,44.63,62.48,14.18,0,264.6,0.01,556.5,0,0,1443.75,0,0,0,0,0,0,0,0,0,36.75,6.99,0,0,0,0,8.93,1375.5,44.63,1443.75,3.52,14.18,15.75,556.5,0,0,0,2.63,0,62.48,0,1443.75,0,0,0,0,9.45,147,143.85,0,6.3
802,"Milk, fluid, UHT, commercial",MILK AND MILK PRODUCTS,Milks,Cup (250g),160.88,8.75,9.25,6,0,11.25,27.5,107.5,0.08,70,282.5,0,0,0,0,0,0,0,0,0,2.5,1.37,0,0,0,0,0.25,362.5,8.75,120,0.55,6,1,107.5,0,11.25,0,0.08,0,9.25,0.18,130,0,0,0,0,2.5,32.5,218.5,0,1
803,"Milk, goat, fluid, whole",MILK AND MILK PRODUCTS,Milks,Cup (258g),1035.45,72.76,13.42,8.51,0,156.35,23.22,1400.94,0.05,0,3299.82,0,0,0,0,0,0,0,0,0,3.35,1.25,0,0,0,0,0.26,4592.4,72.76,139.32,2.68,8.51,2.06,1400.94,0,156.35,0,1.34,0,13.42,0,139.32,0,0,0,0,3.87,954.6,249.74,0,12.13
804,"Milk, malted drink, packet",MILK AND MILK PRODUCTS,Milks,Cup (400g),389.1,8,31.2,18.72,0,18.8,52,324,0,0,216,0,0,0,0,0,0,0,0,0,9.08,1.25,0,0,0,0,1.76,436,8,276,2,18.72,0,324,0,18.8,0,0.96,0,31.2,0,276,0,0,0,0,7.2,0,340,0,1.72
805,"Milk, malted, powder",MILK AND MILK PRODUCTS,Milks,Tablespoon (11g),43.46,1.4,0.76,0.39,0.01,7.74,2.2,16.28,0,0,40.7,0,0,0,0,0,0,0.13,0,0,0.23,0.22,0,0,0,0,0.11,74.47,1.4,78.21,0.19,0.39,0.55,16.28,2.48,5.27,0,0.21,0,0.76,0,78.21,0,0,0,0,7.15,43.67,0.65,0,0.11
806,"Milk, powder, goat, whole",MILK AND MILK PRODUCTS,Milks,Tablespoon (8g),39.28,2.18,2.17,1.33,0,2.92,6.48,23.6,0,0,78.24,0,0,0,0,0,0,0,0,0,0.59,0.34,0,0,0,0,0.07,122.72,2.18,13.12,0.1,1.33,0,23.6,0,2.92,0,0.04,0,2.17,0,13.12,0,0,0,0,0,0,0.2,0,0.24
807,"Milk, powder, skimmed, instant",MILK AND MILK PRODUCTS,Milks,Tablespoon (7g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,"Milk, powder, whole, instant",MILK AND MILK PRODUCTS,Milks,Tablespoon (7g),34.51,1.9,1.86,1.14,0,2.54,5.6,30.8,0.02,10.71,67.2,0,0,0,0,0,0,0,0,0,0.51,0.3,0,0,0,0,0.06,109.2,1.9,29.75,0.1,1.14,0.03,30.8,0,2.54,0,0.05,0,1.86,0,29.75,0,0,0,0,0.43,5.18,0.2,0,0.23
809,"Milk, reduced fat, evaporated, canned",MILK AND MILK PRODUCTS,Milks,Cup (265g),242.18,20.94,5.57,3.71,0,28.09,26.5,278.25,0.05,21.2,707.55,0,0,0,0,0,0,0,0,0,1.33,3.28,0,0,0,0,0.27,924.85,20.94,42.4,1.48,3.71,16.17,278.25,0,28.09,0,0.21,0,5.57,0,45.05,0,0,0,0,0,318,205.91,0,2.39
810,"Milk, skimmed, evaporated, canned",MILK AND MILK PRODUCTS,Milks,Cup (268g),201.96,20.64,1.07,0.8,0,28.14,13.4,243.88,0,18.76,659.28,0,0,0,0,0,0,0,0,0,0.27,3.23,0,0,0,0,0,868.32,20.64,0,1.21,0.8,0,243.88,0,28.14,0,0.19,0,1.07,0,2.68,0,0,0,0,5.36,0,213.6,0,2.41
811,"Milk, skimmed, sweetened, condensed",MILK AND MILK PRODUCTS,Milks,Cup (335g),917.63,33.5,0.67,0,0,202.01,23.45,418.75,0,6.7,1189.25,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0,1490.75,33.5,0,2.28,0,0,418.75,0,202.01,0,0.23,0,0.67,0,0,0,0,0,0,6.7,0,92.46,0,3.69
812,"Milk, whole",MILK AND MILK PRODUCTS,Milks,Cup (200g),33.5,2.14,2.77,1.23,0,0.08,64.53,28.98,0,0,186,0,0,0,0,0,0,0,0,0,1.84,1,0,0,0,0,0.5,264,6.4,208,0.26,4.5,60,66,0,9,0,0.08,0,7.4,0,208,0,0,0,0,0,38.8,175.6,0,0.8
813,"Milk, whole, evaporated, canned",MILK AND MILK PRODUCTS,Milks,One quarter (100g),141.15,7.6,8.1,5.6,0,9.9,24,104,0.06,44,255,0,0,0,0,0,0,0,0,0,2.2,1.19,0,0,0,0,0.3,340,7.6,74,0.5,5.6,7.6,104,0,9.9,0,0.07,0,8.1,0.06,82,0,0,0,0,1,93,72.1,0,0.8
814,"Milk, whole, sweetened, condensed, canned",MILK AND MILK PRODUCTS,Milks,Cup (325g),1088.25,28.6,28.93,18.23,0,178.43,113.75,406.25,0,130,1072.5,0,0,0,0,0,0,0,0,0,8.06,4.48,0,0,0,0,1.11,942.5,28.6,728,1.66,18.23,9.75,406.25,0,178.43,0,1.95,0,28.93,0.55,754,0,0,0,0,4.55,91,83.2,0,3.25
815,Natural yoghurt,MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (150g),88.5,6.75,1.65,1.1,0.3,11.55,7.5,99,0.03,28.5,256.5,0,0,0,0,0,0,0,0,0,1.5,1.11,0,0,0,0,0.15,330,7.05,54,0.45,3.3,3,82.5,7.05,0,0,0.03,0,5.1,0.05,58.5,0,0,0,0,0,0,127.65,0,0.75
816,"Original yoghurt, small, no topping",MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (159g),162.18,5.25,2.43,1.75,0.48,29.89,0,86.02,0,0,193.98,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.06,0,5.25,14.79,0,1.75,0,86.02,0.32,29.57,0,0,0,2.43,0.05,14.79,0,0,0,0,0,0,114.96,0,0
817,Skimmed milk,MILK AND MILK PRODUCTS,Milks,Cup (259g),19.53,1.83,0.55,0.21,0,1.79,0.35,15.33,0,0,303.03,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,424.76,9.32,0,0.47,0.26,2.59,126.91,0,12.43,0,0.1,0,0.26,0,0,0,0,0,0,2.59,50.25,234.91,0,0.78
818,Strawberry milk,MILK AND MILK PRODUCTS,Milks,Cup (258g),392.4,14.4,9,4.61,0,68,0,169.2,0.08,59.34,276.06,0,0,0,0,0,0,0,0,0,2.32,1.29,0,0,0,0,0.26,348.3,8.26,92.88,0.52,5.93,0,103.2,0,23.22,0,0,0,9.03,0,103.2,0,0,0,0,2.58,0,216.46,0,0.77
819,UHT chocolate milk,MILK AND MILK PRODUCTS,Milks,Cup (264g),195.36,8.71,5.02,3.04,0.79,29.3,16.9,55.44,0.08,0,311.52,0,0,0,0,0,0,0,0,0,1.14,1.37,0,0,0,0,0.21,530.64,8.71,562.32,0.45,3.04,0,55.44,0.53,27.72,0,0.71,0,5.02,0,562.32,0,0,0,0,8.18,0,219.38,0,0.79
820,UHT milk,MILK AND MILK PRODUCTS,Milks,Cup (256g),160.88,8.75,9.25,6,0,11.25,27.5,107.5,0,0,279.04,0,0,0,0,0,0,0,0,0,2.05,1.41,0,0,0,0,0.26,250.88,8.96,66.56,1.02,5.38,2.05,92.16,0,18.18,0,0.08,0,8.7,0,66.56,0,0,0,0,0,33.28,218.37,0,0.77
821,Wafer ice cream,MILK AND MILK PRODUCTS,Ice creams,1 portion (110g),16.68,0.32,0.28,0.05,0.12,3.04,0,10.24,0,0,187,0,0,0,0,0,0,0,0,0,0.09,1.74,0,0,0,0,0.52,209,11.11,0,0.04,0.18,0,102.3,85.47,1.21,0,0.22,0,0.77,0,0,0,0,0,0,0,0,3.08,0,0.77
822,"Yoghurt drink, low fat, mixed fruit",MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (200g),142,3.8,1.2,0.76,0.6,29.2,5.6,66,0,240,250,0,0,0,17.72,132,0,0,0,0,0.3,0.6,0,0,0,0,0.04,158,3.8,30,0.6,0.76,0,66,0.4,26,0,0.6,0,1.2,0,70,0,0,0,0,4,0,165.2,0,0.6
823,"Yoghurt, fruit variety, nonfat",MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (245g),232.75,10.78,0.49,0.29,0,46.55,4.9,142.1,0,9.8,372.4,0,0,0,0,0,0,0,0,0,0.12,1.69,0,0,0,0,0.04,475.3,10.78,4.9,0.44,0.29,14.7,142.1,0,46.55,0,0.1,0,0.49,0,4.9,0,0,0,0,1.72,0,184.73,0,1.81
824,"Ajinomoto, MSG",MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Teaspoon (5g),0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,Amocan Singapore Rendang Paste,MISCELLANEOUS,"Sauces, gravies (manufactured)",Tablespoon (15g),44.7,0.42,3.05,1.95,0.76,3.92,0.3,96.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,1.95,0,96.3,0,1.1,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0
826,Aquaresin garlic,MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Gram (1g),8.54,0,0.95,0.13,0,0.01,0,1.75,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,1.75,0.01,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0.01,0,0
827,"Artificial sweetener, saccharin",MISCELLANEOUS,Others,Piece (.09g),0.01,0,0,0,0.01,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,"Baking powder, double-acting",MISCELLANEOUS,Baking / leavening agents,Teaspoon (4.6g),2.44,0,0,0,0.01,1.26,0,487.6,0,0,270.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.01,487.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0
829,Baking soda,MISCELLANEOUS,Baking / leavening agents,Teaspoon (4.6g),0,0,0,0,0,0,0,1258.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1258.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
830,Barilla Arrabbiata Sauce,MISCELLANEOUS,"Sauces, gravies (manufactured)",Tablespoon (15g),9.3,0.22,0.53,0.06,0.3,0.9,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0.06,0,60,0,0.68,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0
831,"Base, chicken flavour, natural",MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Gram (1g),2.04,0.06,0.07,0.02,0,0.29,0.37,109.25,0,0,0.32,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0.02,1.13,0.06,0,0,0.02,0.06,109.25,0,0,0,0,0,0.07,0,2.21,0,0,0,0,0.01,0,0.28,0,0.01
832,"Base, shrimp flavour, natural",MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Gram (1g),2.12,0.12,0.02,0,0,0.36,0.09,90.35,0,0,0.31,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0.01,0.75,0.12,0.01,0,0,0.15,90.35,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0.01,0,0.31,0,0.02
